category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Burnsville for Wastewater Collection System Rehabilitation Project,,,WV,,,669000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Marmet for Sanitary/Storm Separation Project: Maryland Ave. Overflow Abatement,,,WV,,,860000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Oceana for Wastewater Collection System Upgrades,,,WV,,,1444000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Clean Water SRF,Town of Rowlesburg for Sanitary Sewer System Upgrade,,,WV,,,7578000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City and Borough of Wrangell for Supply Connector to Treatment Plant,,,AK,,,2080000,S,Lisa Murkowski,M001153,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of King Cove for Delta Creek Water Well Field Expansion,,,AK,,,5200000,S,Lisa Murkowski,M001153,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Glendale for Water Supply InterConnection Upgrades,,,AZ,,,2000000,S,Mike Kelly,K000376,rep,Republican,Kyrsten Sinema,S001191,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Gustine for Tank and Booster Pump Station Improvements,,,CA,,,3000000,S,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Sacramento for Fairbairn Groundwater Well,,,CA,,,1700000,S,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,South Coast Water District for Doheny Desalination Slant Well Project,,,CA,,,2400000,S,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Dove Creek for Big Canyon Water Line,,,CO,,,1760000,S,Michael F. Bennet,B001267,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Hotchkiss for Water Treatment Plant Upgrade,,,CO,,,91000,S,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of La Veta for Water Treatment Plant,,,CO,,,600000,S,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Minturn for Water Tank Replacement Project,,,CO,,,1000000,S,Michael F. Bennet,B001267,sen,Democrat,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Walden for Water System Old Valve Replacement,,,CO,,,90000,S,Michael F. Bennet,B001267,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,South Central Connecticut Regional Water Authority for Lake Saltonstall Water Treatment Plant Electrical Upgrades Projects,,,CT,,,2000000,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Bethel Public Utilities Department for Bergstrom Well Treatment Facility,,,CT,,,1600000,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Bethel Public Utilities Department for Supervisory Control and Data Acquisition System,,,CT,,,640000,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Metropolis for Metropolis Water Treatment Plant Filter Rehabilitation Project,,,IL,,,400000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Monmouth for West Harlem Avenue Water Main Replacement Project,,,IL,,,500000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of North Chicago for Lead Service Line and Water Main Replacement,,,IL,,,500000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Ipswich for Town Hill Water Storage Tank Replacement,,,MA,,,3280000,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,The Board of Garrett County Commissioners for Gorman Waterline Rehabilitation Project,,,MD,,,700000,S,Benjamin L. Cardin,C000141,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Boonsboro for Drinking Water Reservoir Replacement,,,MD,,,1000000,S,Chris Van Hollen,V000128,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Berwick for Water Utilities Upgrade,,,ME,,,2800000,S,Susan M. Collins,C001035,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of St. Clair for Water Treatment Plant Improvements,,,MI,,,970000,S,Gary C. Peters,P000595,sen,Democrat,Debbie Stabenow,S000770,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Aurora for East Mesabi Water Treatment Project,,,MN,,,2500000,S,Amy Klobuchar,K000367,sen,Democrat,Adam Smith,S000510,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Ely for Water Supply Improvements for School Campus,,,MN,,,245000,S,Amy Klobuchar,K000367,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Jackson for Water and Distribution System Improvements,,,MS,,,4000000,S,Cindy Hyde-Smith,H001079,sen,Republican,Roger F. Wicker,W000437,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town and Village of Canaan for Leaded Water Line Replacement and River Crossing Protection,,,NH,,,1470000,S,Jeanne Shaheen,S001181,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Borough of East Newark for Drinking Water System Improvements,,,NJ,,,338000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Borough of Red Bank for Lead Pipe Removal and Replacement Project,,,NJ,,,250000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Borough of Rocky Hill for PFOS Treatment and Other Water Improvements,,,NJ,,,1667000,S,Cory A. Booker,B001288,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Newark for Water Loss Monitoring Program,,,NJ,,,492000,S,Cory A. Booker,B001288,sen,Democrat,Robert Menendez,M000639,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Silver City for Grant County Regional Water Project Update,,,NM,,,200000,S,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Fallon for Churchill County Rattlesnake Hill Water Tank Upgrade,,,NV,,,1995000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Cohoes for Drinking Water Treatment Plant Rehabilitation Project,,,NY,,,2500000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Volney for Portable Water System Installation,,,NY,,,280000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Village of Hempstead for Water Improvements Project,,,NY,,,3200000,S,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Village of Midvale for Water Treatment Plant Filtration Improvement Project,,,OH,,,1000000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Village of Scio for Waterline and Household Lead Line Replacement,,,OH,,,300000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Cherokee County Rural Water District #1 for Drinking Water Project,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Edmond Public Works Authority for City of Edmond Drinking Water Improvements,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,McAlester Public Works Authority for City of McAlester Drinking Water System Improvements,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Okarche Public Works Authority for Drinking Water Treatment Plant Project,,,OK,,,2000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Stillwater Utilities Authority for City of Stillwater Drinking Water Project,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Welch Public Works Authority for Town of Welch Drinking Water Improvements,,,OK,,,300000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Wewoka Public Works Authority for Drinking Water Improvements,,,OK,,,5000000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Echo for Potable Water System Service Replacement,,,OR,,,450000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Haines for Water Supply and Distribution Project,,,OR,,,1015000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Warrenton for Hammond Waterline Project,,,OR,,,1000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Willamina for Water Intake Repair,,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Yamhill for Treatment Plant Project,,,OR,,,192000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Mapleton Water District for Distribution and Meter Project,,,OR,,,800000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Southwestern Pennsylvania Water Authority for Brave Water and Sewer Authority System Extension,,,PA,,,2200000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Warwick for Lincoln Avenue Transmission Line Rehabilitation,,,RI,,,3200000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Woonsocket for Lead Line Removal,,,RI,,,775000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Greenville Water District for Water Line Extension,,,RI,,,325000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Providence Water Supply Board for Water Lead Service Replacements,,,RI,,,3300000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Prudence Island Water District for System Improvement,,,RI,,,1350000,S,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of North Smithfield Water Department for St. Paul Street Water Line Project,,,RI,,,1175000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Rock Hill for Water Plant Alum Sludge Dewatering Facility,,,SC,,,8000000,S,Lindsey Graham,G000359,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Frederick County Sanitation Authority for Lake Frederick Well Development,,,VA,,,3600000,S,Tim Kaine,K000384,sen,Democrat,Mark R. Warner,W000805,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Village of Jeffersonville for Water System Upgrades,,,VT,,,560000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Lakewood Water District for PFAS Remediation,,,WA,,,1950000,S,Patty Murray,M001111,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Town of Harrah for Drinking Water Well Project,,,WA,,,2000000,S,Patty Murray,M001111,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of La Crosse for Wellhead PFA Water Contamination Treatment,,,WI,,,3730000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Monroe for Lead Service Line Replacement,,,WI,,,1022000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Rhinelander for Drinking Water Quality Infrastructure Improvements,,,WI,,,1600000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Sheboygan Water Utility for Drinking Water Project,,,WI,,,2000000,S,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,Canaan Valley Public Service District for Water Plant,,,WV,,,8000000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interior, Environment, and Related Agencies",Environmental Protection Agency,STAG—Drinking Water SRF,City of Weirton for Water Treatment Capacity Project,,,WV,,,22470000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
